"geo_id","zipcode","description","year","area_deprivation_index_percent"
"86000US48009","48009","ZCTA5 48009",2018,2
"86000US48069","48069","ZCTA5 48069",2018,2
"86000US48070","48070","ZCTA5 48070",2018,2
"86000US48168","48168","ZCTA5 48168",2018,2
"86000US48301","48301","ZCTA5 48301",2018,2
"86000US48374","48374","ZCTA5 48374",2018,2
"86000US48025","48025","ZCTA5 48025",2018,3
"86000US48302","48302","ZCTA5 48302",2018,3
"86000US48306","48306","ZCTA5 48306",2018,3
"86000US48323","48323","ZCTA5 48323",2018,3
"86000US48098","48098","ZCTA5 48098",2018,4
"86000US48130","48130","ZCTA5 48130",2018,4
"86000US48304","48304","ZCTA5 48304",2018,4
"86000US49301","49301","ZCTA5 49301",2018,4
"86000US48042","48042","ZCTA5 48042",2018,5
"86000US49115","49115","ZCTA5 49115",2018,5
"86000US48085","48085","ZCTA5 48085",2018,6
"86000US48138","48138","ZCTA5 48138",2018,6
"86000US48230","48230","ZCTA5 48230",2018,6
"86000US48324","48324","ZCTA5 48324",2018,6
"86000US48331","48331","ZCTA5 48331",2018,6
"86000US48348","48348","ZCTA5 48348",2018,6
"86000US48360","48360","ZCTA5 48360",2018,6
"86000US48382","48382","ZCTA5 48382",2018,6
"86000US49636","49636","ZCTA5 49636",2018,6
"86000US48236","48236","ZCTA5 48236",2018,7
"86000US48363","48363","ZCTA5 48363",2018,7
"86000US48370","48370","ZCTA5 48370",2018,7
"86000US48380","48380","ZCTA5 48380",2018,7
"86000US48044","48044","ZCTA5 48044",2018,8
"86000US48176","48176","ZCTA5 48176",2018,8
"86000US48309","48309","ZCTA5 48309",2018,8
"86000US48322","48322","ZCTA5 48322",2018,8
"86000US48375","48375","ZCTA5 48375",2018,8
"86000US48822","48822","ZCTA5 48822",2018,8
"86000US49060","49060","ZCTA5 49060",2018,8
"86000US48103","48103","ZCTA5 48103",2018,9
"86000US48114","48114","ZCTA5 48114",2018,9
"86000US48118","48118","ZCTA5 48118",2018,9
"86000US48167","48167","ZCTA5 48167",2018,9
"86000US48438","48438","ZCTA5 48438",2018,9
"86000US48072","48072","ZCTA5 48072",2018,10
"86000US48084","48084","ZCTA5 48084",2018,10
"86000US48116","48116","ZCTA5 48116",2018,10
"86000US48164","48164","ZCTA5 48164",2018,10
"86000US49654","49654","ZCTA5 49654",2018,10
"86000US48095","48095","ZCTA5 48095",2018,11
"86000US48137","48137","ZCTA5 48137",2018,11
"86000US48170","48170","ZCTA5 48170",2018,11
"86000US48178","48178","ZCTA5 48178",2018,11
"86000US48188","48188","ZCTA5 48188",2018,11
