"SS1","SS2","SS3","SS4","SS8","SS9","s6_b","s6_d","s6_g","s6_u","s6_w","s6_z","s6_aa","s6_gg","s6_ll","s6_nn","S6b1","VISIT","S8_31","s9_p","s10_t","Q1","Q2_4","Q2_12","Q2_13","Q2_14","Q2_26","Q4_17","Q4_18","Q9_1_4","Q9_1_5","Q9_2_4","Q9_2_5","Q9_3_4","Q9_3_5","Q14","Q16","Q18","WEIGHT","ZIPCODE"
"2","4","8","6","1","5","9","6","8","6","4","8","2","6","3","10","2","1","7","10","10","10","10","10","10","10","9","8","8","7","10","1","1","8","10","10","1","1",0.5867500536012585,48150
"1","5","1","3","2","1","5","6","5","5","5","5","5","5","5","5","2","1","3","5","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","7","2","1",1.1848094395034512,48509
"1","7","4","5","2","9","8","8","1","5","3","5","5","3","2","9","2","1","2","10","10","10","10","10","10","9","9","3","5","9","10","10","10","10","10","10","1","1",0.5725306280891496,48174
"2","5","9","3","1","7","6","5","4","4","5","1","2","1","4","5","2","1","2","8","7","8","7","1","8","1","8","10","5","8","8","8","8","8","8","10","4","1",1.1291952425479868,48306
"1","6","8","5","2","2","5","7","3","3","5","5","5","3","6","7","2","1","3","8","8","8","8","8","7","5","8","8","4","8","7","7","6","7","7","8","3","1",1.199577365073922,49696
"2","8","2","2","2","7","5","6","3","3","4","3","4","2","6","7","2","1","3","8","8","9","9","9","9","8","9","5","5","8","10","8","10","8","9","9","3","1",2.6473198465619787,48091
"2","2","8","4","2","8","7","7","5","3","7","8","5","3","3","10","3","1","2","9","6","9","7","7","8","8","8","8","8","7","8","3","3","6","9","10","4","1",0.4683178168087592,48879
"1","5","8","5","1","8","7","6","8","1","3","5","3","1","5","8","2","1","2","9","8","9","8","6","7","5","7","6","6","6","8","1","2","7","8","9","4","4",1.2053429255208339,48360
"2","5","7","6","2","8","7","6","5","3","3","4","4","3","5","8","2","1","1","6","5","8","6","5","6","5","7","4","5","9","7","2","3","7","6","7","4","4",0.4561350098995629,48084
"2","3","7","5","2","2","3","3","4","2","7","8","5","3","5","3","2","0","2","7","7","6","7","6","8","5","8","8","3","6","6","5","5","5","3","6","5","1",0.4549298540156937,49428
"2","5","9","5","2","3","5","7","5","5","8","1","7","1","5","7","3","1","5","8","5","8","5","5","5","5","10","9","2","5","5","7","5","5","5","8","3","1",2.2449303940422345,49009
"2","8","5","6","2","9","10","9","1","1","1","8","6","1","2","10","2","1","1","10","10","10","10","9","10","9","10","5","1","9","10","1","1","5","9","10","3","2",0.7615859157915983,48917
"1","4","6","5","2","1","6","2","3","5","9","6","2","2","3","3","1","1","2","8","2","8","4","2","9","6","3","8","5","3","6","3","3","3","3","8","2","1",0.7996303875280074,49442
"1","6","1","5","2","9","8","8","8","2","7","8","7","1","8","9","2","1","4","7","8","9","10","7","6","7","8","5","2","10","9","1","3","8","8","9","4","2",0.9151333450066426,48219
"2","2","1","3","2","10","7","7","9","7","6","8","7","7","6","7","2","1","4","8","7","8","9","9","8","7","9","8","8","8","10","8","10","8","8","7","2","3",0.5046303211720659,48015
"1","7","6","2","2","9","8","8","2","1","4","5","4","2","2","10","2","1","3","9","9","10","10","10","10","10","10","10","9","9","9","9","9","9","9","9","4","1",1.0198299871438785,48732
"2","6","3","2","1","8","5","6","7","6","6","9","8","5","7","6","2","1","2","5","5","6","5","6","5","5","5","5","5","8","8","5","5","5","5","6","5","1",1.473610613585699,49756
"2","5","9","5","2","5","6","6","3","5","6","7","8","2","8","7","2","0","2","9","8","8","9","6","6","7","7","8","5","6","6","6","7","8","7","8","4","1",1.4221682694723967,48313
"2","7","1","2","2","10","5","6","5","5","5","10","10","1","5","9","2","1","1","10","10","10","10","10","7","2","10","10","1","8","8","1","1","1","1","10","4","1",1.1503005486828932,48192
"2","7","3","3","2","9","5","6","5","5","6","6","6","5","6","5","2","0","2","5","5","6","5","5","5","5","5","6","5","8","5","7","8","8","5","5","1","1",0.47290757616166357,49667
"2","5","8","5","2","8","4","4","5","5","6","3","6","2","6","2","2","1","1","7","5","7","7","7","6","5","5","6","4","2","3","4","7","3","4","7","3","1",1.0464539741237953,48842
"2","7","8","5","2","5","8","10","1","1","6","7","5","1","7","10","2","1","2","10","10","10","10","10","10","8","10","9","3","10","10","1","1","10","10","10","4","1",0.7465818579607757,48374
"1","8","3","3","2","9","5","6","2","5","5","5","2","1","6","7","2","0","2","8","8","9","10","10","10","10","10","8","5","10","9","2","2","6","6","8","4","1",1.0612078509757243,49445
"1","8","7","2","2","9","3","3","7","7","5","6","6","2","8","3","2","0","1","6","5","7","5","4","5","4","3","5","5","3","2","6","7","3","2","5","4","1",2.194581341124259,49735
"2","5","6","6","2","8","5","6","4","5","5","5","6","6","6","5","2","1","5","6","7","5","4","7","5","5","6","4","5","6","6","5","6","6","6","9","2","4",0.6691680969292131,48009
"2","7","7","5","2","1","9","8","2","6","7","1","5","2","1","10","2","1","4","7","7","9","8","9","8","6","9","9","2","9","8","1","2","9","10","10","4","1",0.5499091790323286,48626
"1","6","5","2","2","8","5","7","5","5","6","9","9","5","6","5","2","1","1","5","5","7","6","6","6","6","6","6","5","5","5","3","5","4","4","5","3","1",1.1942917459786768,49862
"2","4","7","6","1","5","7","7","6","8","6","7","8","5","6","7","2","1","3","9","10","10","9","10","10","10","10","9","9","10","10","10","10","9","9","10","2","1",0.4559096519453156,48044
"2","5","6","3","1","10","4","10","5","5","5","10","5","1","9","6","2","0","1","5","5","5","5","5","5","5","5","5","5","7","1","2","10","10","1","4","2","5",0.7574596549613425,48183
"2","4","6","5","1","7","5","3","5","6","4","9","9","2","6","6","2","0","2","5","5","3","8","9","8","6","6","2","2","7","5","2","6","6","3","7","3","2",0.6182683905223554,48030
"1","7","8","6","2","9","3","5","6","7","6","6","6","2","6","4","3","0","1","7","5","6","4","6","3","1","5","8","2","6","3","6","9","1","1","6","2","1",0.5130073422170973,49417
"2","3","6","4","1","7","5","7","5","2","5","5","3","1","3","7","2","1","2","10","6","8","8","8","8","8","8","8","9","6","4","3","4","4","5","6","3","1",0.4120353563776125,48507
"1","6","6","6","2","3","5","6","5","6","7","5","5","5","3","10","2","1","1","10","8","8","10","10","9","10","10","8","2","7","7","3","5","5","6","10","5","1",0.6809315299871699,48092
"2","5","1","3","1","10","7","9","7","9","8","8","8","7","8","6","2","1","7","8","7","10","9","9","10","10","8","8","9","10","10","10","10","9","10","9","1","1",0.8590330264196653,48842
"2","3","1","4","2","10","5","4","8","6","7","8","7","5","5","6","2","1","3","9","5","5","5","5","5","5","5","5","5","7","5","5","5","5","4","6","5","1",0.4650905881551386,48152
"2","8","2","5","2","9","10","10","6","2","3","6","3","1","2","10","2","1","5","10","9","10","10","10","10","10","10","3","2","10","10","1","1","10","10","10","4","1",1.3588801604027483,49449
"2","3","7","3","2","10","6","7","3","7","2","7","7","1","7","7","2","1","2","7","6","7","7","7","5","4","7","6","5","9","8","1","2","8","8","9","4","1",0.4502828948917509,48906
"2","2","4","3","2","8","5","6","2","4","8","7","3","1","7","7","2","1","2","8","7","10","8","8","8","4","7","8","1","8","8","3","4","7","8","7","3","1",0.46166443672859436,48380
"1","6","4","5","2","1","5","5","5","3","5","5","8","4","5","8","2","1","5","10","8","8","10","7","7","7","9","5","5","5","8","4","3","5","8","10","4","1",1.0120889633530938,49788
"1","6","9","5","1","2","10","10","1","3","4","5","1","1","7","8","2","0","3","10","5","10","10","10","10","1","10","1","10","10","10","1","1","10","10","10","4","1",1.5680694227087946,48038
"1","5","7","3","2","8","5","5","6","5","6","5","6","6","8","6","2","0","1","5","5","7","6","6","5","5","5","7","7","6","6","10","6","6","6","7","5","2",0.9605602220860691,48864
"1","3","6","6","2","4","9","8","9","8","9","10","8","9","10","7","1","1","6","9","10","8","9","9","10","10","9","9","10","9","8","10","8","10","8","6","1","2",1.0714482585978853,48228
"1","2","7","4","2","8","4","3","9","6","8","10","7","7","3","4","2","1","2","8","2","7","2","2","7","2","7","9","5","7","8","4","5","6","2","5","4","1",0.9742581024702153,48194
"1","3","6","3","2","8","4","4","7","5","6","8","4","4","4","5","2","1","1","10","7","10","7","8","9","8","9","9","8","9","7","4","5","5","3","9","2","2",1.2185483613113925,49503
"1","6","5","5","1","8","4","2","7","7","2","10","9","2","3","7","2","1","2","7","8","8","7","8","8","8","7","3","6","6","6","4","4","4","4","8","3","1",0.7372973912506633,48420
"1","5","9","6","1","2","7","7","7","6","9","8","7","7","6","9","2","1","4","7","8","10","9","8","7","7","8","9","7","9","8","9","10","9","9","8","2","1",1.5731311280923466,48044
"1","7","6","6","2","9","10","10","1","5","7","2","6","2","2","10","2","1","4","9","10","10","10","9","9","10","10","10","10","7","8","4","7","4","4","9","3","1",0.40737777146615817,48324
"1","4","2","4","2","3","4","5","6","6","7","8","8","3","5","5","3","0","2","7","5","5","6","6","5","6","5","5","5","7","5","7","5","7","4","6","5","1",0.6942958191925344,48756
"1","5","3","3","1","7","5","6","5","5","5","7","6","2","8","6","2","0","3","9","5","6","9","9","6","6","8","4","5","9","5","2","5","10","6","7","4","1",0.9019801612405715,49022
"1","6","7","3","2","1","5","9","3","3","8","3","2","2","9","5","2","0","2","7","5","7","7","6","6","5","6","10","1","5","3","3","3","5","3","4","5","1",0.8485986240836765,48640
"1","4","3","2","2","8","4","9","2","5","7","5","4","1","4","6","2","1","2","9","7","8","8","9","10","8","8","9","7","9","8","9","8","8","8","8","4","1",1.271334874879941,48423
"1","4","2","1","1","7","4","4","5","4","5","8","6","2","6","4","2","1","5","5","6","8","5","5","5","7","5","5","5","6","5","3","3","5","5","6","3","2",1.239987214113093,48238
"1","4","7","5","1","8","7","8","9","8","9","6","8","8","8","7","1","1","6","6","9","9","7","8","9","8","7","7","8","8","7","8","9","9","8","8","3","4",0.7352173337842597,48185
