"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"ALVAH N. BELDING MEMORIAL LIBRARY",48809,11000,1,0,0.8,2.6,2.1,4.7,242550,7626,0,250176,135654,26022,277861,0,116389,2110,46477,2745,30591,30591,237,3445,4668,8111,-85.2268,43.09777,64210
"ANN ARBOR DISTRICT LIBRARY",48104,163590,1,4,18,18,156,174,15842212,122546,0,16430551,6549058,1588619,14690756,0,118068,18997,1851354,60100,6128574,6238503,2305,140150,133319,1041100,-83.7461,42.2783,370963
"ARMADA FREE PUBLIC LIBRARY",48005,5379,1,0,1,1,2.75,3.75,322994,3518,0,333562,123387,33657,241930,0,0,2600,22013,1957,31905,31905,73,1288,674,6942,-82.8832,42.84188,874759
"ATHENS COMMUNITY LIBRARY",49011,4265,1,0,0,0.5,0.78,1.28,43298,2789,0,46087,-9,4903,49230,0,0,2132,7602,1453,5660,6088,18,26,1272,2451,-85.236,42.08835,134487
"AUBURN HILLS PUBLIC LIBRARY",48326,21412,1,0,5.9,6.3,7.45,13.75,1324446,15634,0,1368390,361778,60854,648963,0,254039,3018,121801,9567,142982,158854,694,10930,21184,9542,-83.2221,42.66982,1259201
"AUGUSTA-ROSS TOWNSHIP DISTRICT LIBRARY",49012,7172,1,0,0,2.15,0.21,2.36,167052,6236,0,186261,125989,20059,185382,0,7140,2118,26361,3348,30086,30711,44,1064,2376,1188,-85.3518,42.33527,264870
"BACON MEMORIAL DISTRICT LIBRARY",48192,25883,1,0,4.1,4.1,6.05,10.15,843336,18981,0,1400459,365661,91513,795172,0,46509,2870,138183,6818,114306,122917,301,6308,26382,7175,-83.1483,42.20759,1753893
"BAD AXE AREA DISTRICT LIBRARY",48413,6621,1,0,0,1,2.5,3.5,240049,4590,0,265572,125954,24662,227070,0,0,2830,36322,6000,35599,37564,208,4059,4510,19364,-82.9973,43.80099,31166
"BALDWIN PUBLIC LIBRARY",48009,35350,1,0,15.3,15.3,19.14,34.44,4067323,25923,0,4194908,1452227,564910,3256297,32724,142767,3359,267938,16151,503941,521378,1213,35959,15098,237076,-83.2177,42.54514,1259201
"BARRYTON PUBLIC LIBRARY",49305,4075,1,1,0,1.9,0.95,2.85,126270,2825,0,141931,84069,20946,142869,0,0,3236,12566,2271,16779,16779,5,222,5233,4168,-85.1448,43.75003,43545
"BAY COUNTY LIBRARY SYSTEM",48708,107681,1,3,11,11.08,52.54,63.62,6274767,71285,0,6526042,2436772,546900,4741401,0,0,10636,335728,58018,656131,813359,1886,80619,70099,0,-83.8855,43.59782,103923
"SUPERIOR DISTRICT LIBRARY",49783,40841,1,7,1.95,8.7,5.63,14.33,905703,29730,2500,1065162,509517,101435,1086849,0,38611,12785,285765,16908,120327,120387,1204,33160,34490,20885,-84.3485,46.49564,37517
"BEAVER ISLAND DISTRICT LIBRARY",49782,657,1,0,0,1.13,0.15,1.28,114379,429,0,126787,-9,11874,133091,0,5655,2400,14822,2076,14348,14348,96,592,2866,0,-85.5236,45.74683,26244
"BELLAIRE PUBLIC LIBRARY",49615,3769,1,0,0,1,1.38,2.38,118949,2465,0,142872,65563,28694,138128,0,5401,1892,34066,847,29902,57902,110,3268,6976,3500,-85.2099,44.97514,23365
"BELLEVUE TOWNSHIP LIBRARY",49021,3150,1,0,0,0.63,0,0.63,30953,2060,0,34882,-9,1452,34882,0,0,1212,4194,2180,9213,9213,0,0,1048,83,-85.018,42.44523,109826
"BRIGGS DISTRICT LIBRARY",48879,21705,1,0,2,3,3.85,6.85,587679,15917,0,640548,292915,51215,491243,0,0,2638,91109,7356,84731,84864,353,7833,6080,5938,-84.5581,43.00441,79332
"BENTON HARBOR PUBLIC LIBRARY",49022,24787,1,0,2.75,2.75,6.73,9.48,543559,24754,0,602889,283916,49669,531298,0,71095,2513,71914,7368,53739,53739,396,5217,15120,15811,-86.4533,42.11553,154141
"POTTERVILLE-BENTON TOWNSHIP DISTRICT LIBRARY",48876,5413,1,0,0,0.68,1.15,1.83,88841,3969,0,95151,-9,7820,90623,0,108095,1612,9203,2609,18584,18595,137,1613,1385,193,-84.7406,42.63043,109826
"BENZONIA PUBLIC LIBRARY",49616,3623,1,0,0,1.64,0.15,1.79,82089,2512,0,105051,-9,15142,103853,21,0,2288,30271,1126,36035,36035,304,4744,3450,8112,-86.0991,44.6185,17753
